N°,ID producto,Producto,SKU,Categoría visible,Categoría final,Tipo producto,Precio proveedor,Precio sugerido,Stock público,Stock privado,Disponible en,Bodega,Cantidad imágenes visibles,Tiene descripción,Descripción excede screenshot,Tipo descripción,Beneficios visibles,Modo de uso visible,Especificaciones visibles,Garantías visibles,Recursos adicionales visibles,Texto genérico repetido,Pantallazo fuente,Observación cruda
1,1589262,Juguete Tablero Educativo,JUGUETETABLEREDUCATIVO,Otro; Juguetería,Juguetería,Simple,37900,57900,84,0,Yumbo,"CALI, YUMBO",5,Sí,Sí,Mixta: texto proveedor/comunidad + descripción específica producto,Sí,No visible,Sí,"Pestaña visible, no abierta","Pestaña visible, no abierta",Sí,Captura 2026-05-28 5.03.40 p.m.,Incluye texto de servicio al cliente y enlace WhatsApp; descripción específica del tablero educativo con beneficios y funcionamiento.
2,997208,Lampara Solar De Pared Con Mando,LAMPARASOLAR,Hogar; Natural Home; Otro,Hogar,Simple,29900,59900,57,0,Yumbo,"CALI, YUMBO",4,Sí,Sí,Mixta: texto proveedor/comunidad + descripción específica producto,Sí,No visible,Sí,"Pestaña visible, no abierta","Pestaña visible, no abierta",Sí,Captura 2026-05-28 5.03.34 p.m.,"Incluye descripción, beneficios y especificaciones visibles sobre energía solar, control remoto y sensor de movimiento."
3,37111,Limpiador Magnetico De Vidrios Y Ventana,LIMPIACRISTALES,Hogar; Natural Home; Otro; Herramientas,Hogar,Simple,19900,49900,1538,0,Yumbo,"CALI, YUMBO",5,Sí,Sí,Mixta: texto proveedor/comunidad + descripción específica producto,Sí,Sí,Sí,"Pestaña visible, no abierta","Pestaña visible, no abierta",Sí,Captura 2026-05-28 5.03.18 p.m.,"Incluye descripción, beneficios, material y modo de uso por pasos; contiene texto de servicio al cliente al inicio."
4,No visible,Pendientes De Hojas,01PENDIENTES,Bisutería; Otro,Bisutería,Variable,7900,29900,114,0,Yumbo,"CALI, YUMBO",5,Sí,No,Descripción mal renderizada / JSON visible,"Sí, dentro de texto mal renderizado",No visible,"Sí, dentro de texto mal renderizado","Pestaña visible, no abierta","Pestaña visible, no abierta",No,Captura 2026-05-28 5.03.10 p.m.,Producto variable con variantes Color Plateado y Color Dorado; descripción se visualiza como JSON/texto sin renderizar.
5,92051,Cerca practica,01PRACTICA,Otro,Hogar,Simple,27900,39900,8,0,Yumbo,"CALI, YUMBO",4,Sí,Sí,Mixta: texto proveedor/comunidad + descripción específica producto,Sí,No visible,Sí,"Pestaña visible, no abierta","Pestaña visible, no abierta",Sí,Captura 2026-05-28 5.03.47 p.m.,"Descripción específica de cerca decorativa para jardín; incluye beneficios, características visibles y texto de servicio al cliente/comunidad al inicio."
6,1762090,Taladro Percutor Inalambrico,TALADROINALAMBRICO,Otro; Herramientas,Herramientas,Simple,106900,136900,1767,0,Yumbo,"CALI, YUMBO",4,Sí,Sí,Mixta: texto proveedor/comunidad + descripción específica producto,Sí,No visible,Sí,"Pestaña visible, no abierta","Pestaña visible, no abierta",Sí,Captura 2026-05-28 5.03.03 p.m.,Incluye texto de servicio al cliente/comunidad; descripción específica de taladro inalámbrico con características destacadas e incluye accesorios.
7,136678,Fish Catcher X 2 unds,FISHCATCHER1,Pesca; Otro,Deportes,Variable,18900,38900,677,0,Yumbo,"CALI, YUMBO",3,Sí,No,Descripción mal renderizada / JSON visible,"Sí, dentro de texto mal renderizado",No visible,"Sí, dentro de texto mal renderizado","Pestaña visible, no abierta","Pestaña visible, no abierta",No,Captura 2026-05-28 5.02.56 p.m.,Producto variable con variantes de color; descripción se visualiza como JSON/texto sin renderizar.
8,96615,Arnes Para Mascota,01ARNES,Mascotas,Mascotas,Variable,34900,59900,20,0,Yumbo,"CALI, YUMBO",3,Sí,No,Descripción mal renderizada / JSON visible,"Sí, dentro de texto mal renderizado",No visible,"Sí, dentro de texto mal renderizado","Pestaña visible, no abierta","Pestaña visible, no abierta",No,Captura 2026-05-28 5.02.51 p.m.,Producto variable con tallas S y M; descripción se visualiza como JSON/texto sin renderizar.
9,1971689,Anillo Gato Ajustable Plateado,01GATOANILLO,Bisutería,Bisutería,Simple,9900,29900,408,0,Yumbo,"CALI, YUMBO",3,Sí,No,Descripción específica producto,Sí,No visible,Sí,"Pestaña visible, no abierta","Pestaña visible, no abierta",No,Captura 2026-05-28 5.02.45 p.m.,"Descripción visible con secciones ¿Qué es?, ¿Para qué sirve?, ¿Cómo funciona? y ¿Qué incluye?; incluye material/acabado y diseño."
10,2137710,Punzon De Impacto,PUNZONDEIMPACTO1,Herramientas,Herramientas,Simple,17900,37900,4,0,Yumbo,"CALI, YUMBO",3,Sí,No,Descripción específica producto,Sí,No visible,Sí,"Pestaña visible, no abierta","Pestaña visible, no abierta",No,Captura 2026-05-28 5.02.25 p.m.,"Descripción específica de herramienta; incluye usos, beneficios y características como punta de alta resistencia, mango ergonómico y construcción robusta."
