#,Producto visible,Categoría final,Precio proveedor,Precio sugerido,Stock visible,Estado stock,Etiqueta,Tipo visible,Pantallazo fuente,Notas crudas,Categoría interpretada por nombre,Confianza,Criterio / keyword,Categoría indicada por Jaime,Categoría final ajustada,Fuente ajuste,Requiere revisión,Comentario ajuste,Categoría original visible / captura
1,Brasier Copa,Belleza,18000,53900,4.0,Disponible,Premium,Variable,ADMA catalogo 01,,Moda / Ropa íntima,Alta,brasier,Belleza,Belleza,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Moda / Ropa íntima.,Belleza
2,Luz Led Solar,Tecnología,21000,60900,36.0,Disponible,Premium,No visible,ADMA catalogo 01,,Hogar / Iluminación,Alta,luz led solar,Tecnología,Tecnología,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Hogar / Iluminación.,Tecnología
3,Organizador Plegable Para Respaldo De Asiento,Vehículos,30000,69900,,Agotado,Premium,No visible,ADMA catalogo 01,,Vehículos,Alta,respaldo de asiento,Vehículos,Vehículos,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Vehículos.,Vehículos
4,Almohada De Viajes,Otro,58000,97000,3.0,Disponible,Premium,No visible,ADMA catalogo 01,,Viajes / Accesorios,Alta,almohada de viajes,No categorizado en captura,Otro,Inferida por nombre,No,Categoría original no categorizada en captura. Subcategoría/criterio previo: Viajes / Accesorios.,No categorizado en captura
5,Llave Hexagonal,Hogar,38000,77900,46.0,Disponible,Premium,No visible,ADMA catalogo 01,,Herramientas,Alta,llave hexagonal,Hogar,Hogar,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Herramientas.,Hogar
6,Lampara De Cristal Rgb,Hogar,25000,89900,361.0,Disponible,Premium,No visible,ADMA catalogo 01,16 colores visible,Hogar / Iluminación,Alta,lámpara,Hogar,Hogar,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Hogar / Iluminación.,Hogar
7,Organizador De Zapatos,Hogar,7000,46900,768.0,Disponible,Premium,No visible,ADMA catalogo 01,,Hogar / Organización,Alta,organizador de zapatos,Hogar,Hogar,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Hogar / Organización.,Hogar
8,Egg Cracker,Cocina,18500,57900,2.0,Disponible,Premium,No visible,ADMA catalogo 01,,Cocina,Alta,egg cracker,No categorizado en captura,Cocina,Inferida por nombre,No,Categoría original no categorizada en captura. Subcategoría/criterio previo: Cocina.,No categorizado en captura
9,Parasol Para Ventana De Carro,Vehículos,20000,59900,1000.0,Disponible,Premium,No visible,ADMA catalogo 01,,Vehículos,Alta,ventana de carro,Vehículos,Vehículos,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Vehículos.,Vehículos
10,Bombillo Con Ventilador,Hogar,50000,89900,,Agotado,Premium,No visible,ADMA catalogo 01,,Hogar / Iluminación,Alta,bombillo con ventilador,Agotado,Hogar,Inferida por nombre; producto agotado,No,Categoría visible original: Agotado. Subcategoría/criterio previo: Hogar / Iluminación.,Agotado
11,Impermeabilizante De Litro,Hogar,34000,79900,,Agotado,Premium,No visible,ADMA catalogo 01,Producto sin imagen,Hogar / Mantenimiento,Media,impermeabilizante,Agotado,Hogar,Inferida por nombre; producto agotado,No,Categoría visible original: Agotado. Subcategoría/criterio previo: Hogar / Mantenimiento.,Agotado
12,Trapero Escurridor 1Mt,Hogar,30000,69900,10.0,Disponible,Premium,No visible,ADMA catalogo 01,,Hogar / Limpieza,Alta,trapero escurridor,Hogar,Hogar,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Hogar / Limpieza.,Hogar
13,Depilador De Cejas Imp D,Belleza,17500,57400,102.0,Disponible,Premium,No visible,ADMA catalogo 01,,Belleza,Alta,depilador de cejas,No categorizado en captura,Belleza,Inferida por nombre,No,Categoría original no categorizada en captura. Subcategoría/criterio previo: Belleza.,No categorizado en captura
14,Cortador Guante Cocina Papas,Cocina,32000,71900,,Agotado,Premium,No visible,ADMA catalogo 01,,Cocina,Alta,cortador / guante / papas,Agotado,Cocina,Inferida por nombre; producto agotado,No,Categoría visible original: Agotado. Subcategoría/criterio previo: Cocina.,Agotado
15,Aspersor De Jardin 360,Hogar,16000,55900,10.0,Disponible,Premium,No visible,ADMA catalogo 01,,Hogar / Jardín,Alta,aspersor de jardín,No categorizado en captura,Hogar,Inferida por nombre,No,Categoría original no categorizada en captura. Subcategoría/criterio previo: Hogar / Jardín.,No categorizado en captura
16,Tarjetero Marron Doble,Otro,15500,54900,15.0,Disponible,Premium,No visible,ADMA catalogo 01,,Moda / Accesorios,Alta,tarjetero,Otro,Otro,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Moda / Accesorios.,Otro
17,Ruedas Para Muebles,Hogar,30000,45000,27.0,Disponible,Premium,No visible,ADMA catalogo 01,,Hogar / Muebles,Alta,ruedas para muebles,Hogar,Hogar,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Hogar / Muebles.,Hogar
18,Camara Wifi,Tecnología,32000,84900,,Agotado,Premium,No visible,ADMA catalogo 01,,Tecnología,Alta,cámara wifi,Tecnología,Tecnología,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Tecnología.,Tecnología
19,Droppi Cup gafas de Lectura/fas De Lect,Bienestar,8000,28000,1640.0,Disponible,Premium,No visible,ADMA catalogo 01,,Salud / Bienestar,Alta,gafas de lectura,Bienestar,Bienestar,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Salud / Bienestar.,Bienestar
20,Inyector De Carne,Cocina,16000,55900,16.0,Disponible,Premium,No visible,ADMA catalogo 01,,Cocina,Alta,inyector de carne,No categorizado en captura,Cocina,Inferida por nombre,No,Categoría original no categorizada en captura. Subcategoría/criterio previo: Cocina.,No categorizado en captura
21,Cepillo Humidificado Para Mascota,Mascotas,20000,59900,9.0,Disponible,Premium,No visible,ADMA catalogo 02,,Mascotas,Alta,mascota,No categorizado en captura,Mascotas,Inferida por nombre,No,Categoría original no categorizada en captura. Subcategoría/criterio previo: Mascotas.,No categorizado en captura
