Sección,Lectura inicial / pendiente
Estado metodológico,Proveedor incluido en benchmark principal. VITALCOM se excluye por ser marca.
Perfil visible,"Supplier exclusivo con 529 productos, 13.575 órdenes, 2.047 dropshippers y tiempo de despacho de 6 h."
Calificación visible,"Estable: buen rendimiento, con oportunidades para mejorar. Postventa: más reclamos de lo habitual."
Tipo preliminar de catálogo,Generalista multcategoría / productos de oportunidad.
Categorías visibles principales,"Hogar, Belleza, Bienestar/Salud, Tecnología, Vehículos, Moda, Bisutería, Herramientas, Juguetería."
Punto a validar,Catálogo muy variado con varios productos de bajo stock y algunos agotados; requiere detalle de productos y datos BI para lectura final.
Próximo paso,"Tomar muestra de detalle de productos para evaluar contenido, imágenes, descripción, stock privado, variantes y garantías."
,
Detalle de productos revisados,16
Productos simples,11
Productos variables,5
Con descripción visible,16
Con texto genérico de proveedor/comunidad,10
Con descripción mal renderizada,4
,
Última actualización detalle,"Se agregaron 4 productos: Base Moisture Cushion, Bolso Pocket Pro, Manguera A Presion Para Limpieza y Bateria Repuesto Aspiradora Potente."
