Data faltante / no disponible,Estado,Comentario / pregunta para Data-BI
Productos privados o no visibles,No disponible,"Validar si los 529 productos del perfil son públicos, privados, inactivos, agotados o restringidos por bodega/mercado."
Órdenes por producto,No disponible,Necesario para saber qué productos explican las 13.575 órdenes.
GMV por producto,No disponible,Necesario para medir valor económico por SKU/categoría.
Productos con 0 órdenes,No disponible,Clave para identificar ruido de catálogo.
Fecha de creación del producto,No disponible,Permite medir tiempo a primera orden.
Fecha de primera orden,No disponible,Permite medir activación por producto.
Rotación de inventario,No disponible,Necesario para entender demanda vs stock.
Cancelaciones / devoluciones / reclamos por producto,No disponible,Importante porque el perfil muestra postventa estable con más reclamos de lo habitual.
Visitas / clics / envíos a cliente,No disponible,Ayuda a distinguir problema de demanda vs conversión.
Margen real del dropshipper,Parcial,Solo vemos precio proveedor y precio sugerido; no incluye flete/costos.
Stock histórico,No disponible,Necesario para detectar quiebres de stock.
Fuente de ventas por canal,No disponible,"No sabemos si las órdenes vienen de catálogo, pauta, comunidades u otros canales."
