ID captura,Producto,ID producto,SKU,Categoría(s),Tipo producto,Bodega,Stock visible,Stock privado,Precio proveedor,Precio sugerido,Margen valor,Margen %,# imágenes visibles,Descripción visible,Descripción supera screenshot,Contenido / calidad,Garantía / política visible,Recursos adicionales visibles,Notas crudas
OH-DET-001,Lote De Cables Variados En Oferta,1908047,RH0044,Tecnología; Otro,Simple,Bogotá,300,0,15000,30000,15000,1,3,Sí,No,Medio,No visible,No visible,"Descripción visible: paquete de cables USB, HDMI, RCA, jack 3.5 mm, cables de datos/carga/audio para electrónica, consolas y computadoras. Texto comercial corto: 'Perfecto para técnicos, oficinas o tener siempre a mano'."
OH-DET-002,Estante De Zapatos 10 Niveles Eco,600041,RH0952,Hogar; Otro; Herramientas,Simple,Bogotá,294,0,23000,55000,32000,1.391304347826087,4,Sí,No,Bueno,No visible,No visible,"Descripción visible extensa dentro del pantallazo: organizador de calzado / estante de zapatos, 10 niveles, material plástico y varillas metálicas. Incluye características, capacidad por nivel y elementos incluidos."
OH-DET-003,Ventilador Recargable,1597820,RH00148,Otro,Simple,Bogotá,100,0,23000,30000,7000,0.30434782608695654,3,Sí,No,Medio,No visible,No visible,"Descripción visible: ventilador recargable portátil, batería de larga duración, diseño compacto, varias velocidades de ventilación. Texto corto/medio, sin ficha técnica profunda."
OH-DET-004,Masajeador Cuello X3,820070,RH0010,Tecnología; Belleza; Salud,Simple,Bogotá,662,0,21000,32000,11000,0.5238095238095238,4,Sí,No,Bueno,"Sí, en descripción",No visible,"Descripción visible amplia: masajeador ligero y portátil para cuello, espalda y otras zonas; modos de masaje, niveles de intensidad, circulación sanguínea, alivio muscular. Incluye garantía de 15 días por defecto de fabricación, no cubre mala manipulación."
OH-DET-005,Camara Kids Con Impresora M2,1862299,RH01157,Tecnología; Otro; Juguetería,Simple,Bogotá,300,0,105000,140000,35000,0.25,3,Sí,Sí,Bueno,No visible,No visible,"Descripción visible extensa: cámara instantánea para niños con impresión, certificación CE, origen China continental, género unisex, pantalla LCD 2.4 pulgadas, batería 1200mAh, carga 2-3h, uso aproximado 4h, resolución de foto/video, memoria TF y funciones de fotografía/video/filtros. El texto continúa por debajo del pantallazo."
OH-DET-006,Lampara Led Angel,1969471,RH0054,Hogar; Otro; Juguetería,Simple,Bogotá,300,0,43750,63000,19250,0.3055555555555556,4,Sí,No,Medio,No visible,No visible,"Descripción visible: lámpara LED en forma de ángel para ambientación cálida. Menciona diseño angelical, luz LED suave y eficiente, funcionamiento con baterías/enchufe especial, colores disponibles si los hay y uso para habitación infantil, mesa de noche, sala, altar o meditación."
OH-DET-007,Portabebes Ergonomico,2161791,RH0180,Hogar; Bebé,Simple,Bogotá,150,0,75000,90000,15000,0.16666666666666666,3,Sí,No,Bueno,No visible,No visible,"Descripción visible amplia: portabebés para recién nacidos a niños pequeños, rango 0 a 36 meses y 7 a 45 libras. Detalla diseño ergonómico tipo M, distribución de peso, ajuste de hombros/cintura y material transpirable con algodón y malla 3D."
OH-DET-008,Espejo con Luz Led,1613840,RH0849,Belleza,Simple,Bogotá,199,0,22000,30000,8000,0.26666666666666666,5,Sí,No,Bueno,No visible,No visible,"Descripción visible: espejo con luz LED para maquillaje, cuidado personal o afeitado. Menciona iluminación precisa y calidad, diseño moderno/minimalista, luz clara sin sombras, función ajustable y posibilidad de ajustar temperatura/color para personalizar la rutina."
OH-DET-009,Maquina De Ejercicios Multifuncional,1906805,RH00483,Deportes; Otro,Simple,Bogotá,298,0,112500,130000,17500,0.15555555555555556,4,Sí,No,Bueno,No visible,No visible,"Descripción visible: máquina de ejercicios multifuncional para trabajar abdomen, piernas, brazos y glúteos. Se menciona diseño compacto y versátil, resistencia ajustable, uso cómodo/eficiente y color negro."
OH-DET-010,Combo Reloj T500 Canguroaudifonos M10,2098972,RH01425,Ropa Deportiva; Moda; Otro,Variable,Bogotá,1162,0,58000,73000,15000,0.25862068965517243,3,Sí,No,Bueno,No visible,No visible,"Producto variable con 4 variantes visibles: Negro, Azul/café, Gris/café y Negro/café. Descripción visible: combo de reloj inteligente táctil, bolso/canguro y audífonos M10; menciona funciones del reloj, conectividad Bluetooth, reducción de ruido y diseño ergonómico de audífonos."
