Dato faltante,Por qué se necesita,Fuente sugerida
Total de productos públicos vs privados,El supplier es mixto y se observan cards de producto privado; hay que separar visibilidad real del catálogo.,Data / BI
Productos con al menos 1 orden,"Medir productividad real del catálogo, no solo cantidad publicada.",Data / BI
Órdenes y GMV por producto,Identificar productos estrella y concentración del revenue.,Data / BI
Distribución de órdenes por categoría,"Validar si las ventas vienen de fajas/control, bienestar, cuidado personal o ropa deportiva.",Data / BI
Ventas por dropshipper,Entender si 970 dropshippers son recurrentes o exploratorios.,Data / BI
Stock total por producto y por variación,Muchos productos son variables y el stock visible puede esconder concentración por talla/color.,Data / BI / Producto
Productos con precio sugerido en 0 o variable,Hay varios productos con precio sugerido 0/variable visible; revisar configuración y experiencia para dropshipper.,Producto / Data
"Cancelaciones, rechazos y reclamos por producto","Calificación general es óptima, pero se requiere salud operativa granular.",Data / Operaciones
Tiempo desde publicación hasta primera orden,Medir activación de nuevo catálogo.,Data / BI
Margen o diferencial precio proveedor vs sugerido,Priorizar productos con mejor oportunidad comercial y evitar inconsistencias.,Data / BI
Brecha específica de visibilidad PRENDAS CONTROL,Se capturaron 51 productos en feed frente a 221 reportados en perfil. Hay 170 productos no observados manualmente; no asumir que todos son privados.,Data / BI
Separación marca propia vs catálogo para dropshipping,El proveedor parece mixto: marca propia de prendas de control y posible catálogo complementario. Se requiere clasificar productos por origen/estrategia.,Producto / Data / Supplier Success
Precios por variación y margen real,"En productos revisados el precio proveedor y sugerido visible coinciden; validar si hay margen, reglas de precio o configuración especial para dropshippers.",Data / BI / Producto
Criterio de inclusión de PRENDAS CONTROL en benchmark,"Definir si entra como proveedor comparable o como caso especial; requiere separar órdenes de marca propia, productos públicos, privados y posible catálogo para dropshipping.",Data / BI / Producto / Supplier Success
